ooo
titulo,texto,classificacao,fonte,link,data_coleta
"Ministério da Saúde alerta para aumento de criadouros do Aedes aegypti","Boletim epidemiológico recente demonstra que 80% dos focos do mosquito Aedes aegypti, transmissor da dengue, zika e chikungunya, continuam concentrados dentro das residências brasileiras.",1,Ministério da Saúde,https://www.gov.br/saude/pt-br/assuntos/noticias/2025/11/alerta-aedes,2025-11-15 10:30:00
"Mistura de pó de café com sal mata larvas do mosquito da dengue em 1 minuto","Compartilhe urgente! Pesquisadores descobriram que jogar pó de café usado misturado com sal grosso nos ralos dissolve as larvas do mosquito imediatamente, substituindo o cloro.",0,Boatos.org,https://www.boatos.org/saude/po-de-cafe-com-sal-mata-dengue.html,2026-01-22 14:15:00
"Fiocruz expande método Wolbachia para frear epidemia de arboviroses","A Fundação Oswaldo Cruz anunciou a ampliação do programa que libera mosquitos com a bactéria Wolbachia, que impede que o inseto transmita os vírus da dengue e zika para humanos.",1,Fiocruz,https://portal.fiocruz.br/noticia/expansao-metodo-wolbachia-2026,2026-03-10 09:00:00
"Aviões da ONU estão pulverizando vírus da Zika sobre capitais do Nordeste","Um vídeo vazado mostra aviões misteriosos espalhando fumaça química contendo cepas modificadas do Zika vírus para gerar pânico e forçar a compra de imunizantes internacionais.",0,Aos Fatos,https://www.aosfatos.org/noticias/avioes-onu-espalham-zika-falso/,2025-08-05 16:40:00
"Vacina da dengue disponibilizada no SUS é segura e passou por testes rigorosos","A Agência Nacional de Vigilância Sanitária (Anvisa) reforça que a vacina Qdenga, incorporada ao Sistema Único de Saúde, obteve eficácia comprovada após anos de testes clínicos.",1,Agência Brasil,https://agenciabrasil.ebc.com.br/saude/noticia/2026-02/vacina-qdenga-sus-segura,2026-02-18 11:20:00
"Ivermectina atua como repelente biológico e impede infecção por dengue","Médico renomado confirma em áudio no WhatsApp que tomar duas pílulas de ivermectina por semana altera o odor do sangue, funcionando como repelente biológico infalível contra a picada do Aedes.",0,Agência Lupa,https://lupa.uol.com.br/verificamos/ivermectina-repelente-biologico-dengue,2026-04-12 13:55:00
"Uso de repelentes com Icaridina é recomendado para gestantes contra o Zika","Especialistas em infectologia e a Organização Mundial da Saúde orientam que gestantes utilizem repelentes à base de Icaridina ou DEET para prevenir a infecção pelo Zika vírus, associado à microcefalia.",1,Organização Mundial da Saúde,https://www.paho.org/pt/noticias/repelentes-gestantes-zika,2025-10-02 08:45:00
"Extrato de folha de mamão com inhame cura dengue hemorrágica sem ir ao hospital","Receita caseira milagrosa salva vidas! O suco concentrado de folha de mamão batido com inhame cru aumenta as plaquetas em 24 horas e cura qualquer quadro de dengue hemorrágica.",0,E-farsas,https://www.e-farsas.com/folha-de-mamao-inhame-cura-dengue-hemorragica.html,2026-05-15 19:10:00
"Casos de dengue caem nas cidades que implementaram armadilhas letais governamentais","Dados oficiais das secretarias de saúde municipais apontam uma redução de 40% nas internações por dengue nas regiões que adotaram as novas ovitrampas para controle do vetor.",1,Secretaria de Estado da Saúde,https://www.saude.rs.gov.br/reducao-casos-dengue-armadilhas,2026-04-30 15:22:00
"Novo lote de vacinas contra a dengue contém microchips de grafeno para rastreamento","Alerta máximo: microscópios revelaram que as doses infantis da vacina contra arboviroses possuem nanochips de grafeno que reagem a antenas 5G para rastrear a população.",0,UOL Confere,https://noticias.uol.com.br/confere/vacina-dengue-grafeno-5g-mentira,2025-07-29 10:05:00
"Sintomas de Zika e Dengue são frequentemente confundidos com quadros alérgicos graves","Profissionais de saúde alertam que vermelhidão na pele e coceira intensa, sintomas comuns da Zika, podem ser mascarados como simples alergias, atrasando o diagnóstico clínico adequado.",1,Conselho Federal de Medicina,https://portal.cfm.org.br/noticias/diferenciacao-sintomas-zika-dengue,2025-12-10 14:30:00
"Beber água com alho amassado em jejum mata o vírus da Chikungunya e Zika no estômago","A cura estava na sua cozinha e a indústria farmacêutica escondeu! Ingerir água com três dentes de alho esmagados em jejum destrói a camada externa dos vírus das arboviroses antes de caírem na corrente sanguínea.",0,G1 Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/agua-com-alho-nao-mata-virus.html,2026-05-26 09:12:00
